medicament,statut,domaine,date_maj,date_debut,date_remise,url,substance,nom_court
"Quinimax 500 mg, comprimé pelliculé sécable – [inchonidine (monochlorhydrate de) monohydraté/cinchonine (chlorhydrate de) dihydraté/quinidine (chlorhydrate de) monohydraté/quinine (chlorhydrate de)]",Rupture de stock,Infectiologie,2026-04-03,2026-02-02,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/quinimax-500-mg-comprime-pellicule-secable-inchonidine-monochlorhydrate-de-monohydrate-cinchonine-chlorhydrate-de-dihydrate-quinidine-chlorhydrate-de-monohydrate-quinine-chlorhydrate-de,inchonidine (monochlorhydrate de) monohydraté/cinchonine (chlorhydrate de) dihydraté/quinidine (chlorhydrate de) monohydraté/quinine (chlorhydrate de),Quinimax 500 mg
"Zinnat 125 mg/5 ml enfants et nourrissons, granulés pour suspension buvable en flacon – [céfuroxime axétil]",Remise à disposition,Infectiologie,2026-04-03,2026-04-03,2026-04-03,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/zinnat-125-mg-5-ml-enfants-et-nourrissons-granules-pour-suspension-buvable-en-flacon-cefuroxime-axetil,céfuroxime axétil,Zinnat 125 mg/5 ml enfants et nourrissons
"Octim 150 microgrammes/dose, solution pour pulvérisation nasale – [acétate de desmopressine trihydraté]",Remise à disposition,Hématologie,2026-04-02,2026-03-24,2026-03-24,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/octim-150-microgrammes-dose-solution-pour-pulverisation-nasale-acetate-de-desmopressine-trihydrate,acétate de desmopressine trihydraté,Octim 150 microgrammes/dose
"Lantus Solostar 100 unités/ ml, solution injectable en stylo prérempli – [insuline glargine]",Tension d'approvisionnement,Endocrinologie,2026-04-02,2026-03-25,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/lantus-solostar-100-unites-ml-solution-injectable-en-stylo-prerempli-insuline-glargine,insuline glargine,Lantus Solostar 100 unités/ ml
"Tolvaptan Biogaran 15 mg, comprimé + Tolvaptan Biogaran 45 mg, comprimé - [tolvaptan]",Remise à disposition,Néphrologie,2026-04-02,2026-03-17,2026-03-17,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tolvaptan-biogaran-15-mg-comprime-tolvaptan-biogaran-45-mg-comprime-tolvaptan,tolvaptan,Tolvaptan Biogaran 15 mg
"Pulmocis 2 mg, trousse pour préparation radiopharmaceutique – [albumine humaine plasmatique (macroagrégats d')]",Remise à disposition,"Imagerie/Radiologie, Médecine nucléaire",2026-04-02,2026-03-31,2026-03-31,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/pulmocis-2-mg-trousse-pour-preparation-radiopharmaceutique-albumine-humaine-plasmatique-macroagregats-d,albumine humaine plasmatique (macroagrégats d'),Pulmocis 2 mg
"Toujeo 300 unités/ml SoloStar, solution injectable en stylo prérempli – [insuline glargine ((bactérie/Escherichia Coli))]",Tension d'approvisionnement,Endocrinologie,,2026-03-25,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/toujeo-300-unites-ml-solostar-solution-injectable-en-stylo-prerempli-insuline-glargine-bacterie-escherichia-coli,insuline glargine ((bactérie/Escherichia Coli)),Toujeo 300 unités/ml SoloStar
"Fivasa 400 mg, comprimé enrobé gastrorésistant – [mésalazine]",Tension d'approvisionnement,Hépato-gastroentérologie,2026-04-01,2025-11-26,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/fivasa-400-mg-comprime-enrobe-gastroresistant-mesalazine,mésalazine,Fivasa 400 mg
"Gemcitabine Sun 10 mg/mL, solution pour perfusion en poche de 120 ml – [gemcitabine (chlorhydrate de)]",Rupture de stock,Oncologie/Radiothérapie,2026-04-01,2025-11-12,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/gemcitabine-sun-10-mg-ml-solution-pour-perfusion-en-poche-de-120-ml-gemcitabine-chlorhydrate-de,gemcitabine (chlorhydrate de),Gemcitabine Sun 10 mg/mL
"Tolvaptan Teva 15 mg, comprimé + Tolvaptan Teva 45 mg, comprimé – [tolvaptan]",Remise à disposition,Néphrologie,2026-03-27,2026-03-19,2026-03-19,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tolvaptan-teva-15-mg-comprime-tolvaptan-teva-45-mg-comprime-tolvaptan,tolvaptan,Tolvaptan Teva 15 mg
"Lénalidomide Mylan, gélule – [lénalidomide]",Remise à disposition,Oncologie/Radiothérapie,2026-03-26,2026-03-26,2026-03-26,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/lenalidomide-mylan-gelule-lenalidomide,lénalidomide,Lénalidomide Mylan
"Spécialités à base d'oxybate de sodium 500 mg/mL, solution buvable – [sodium (oxybate de)]",Remise à disposition,Neurologie,2026-03-26,2026-03-23,2026-03-23,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/specialites-a-base-doxybate-de-sodium-500-mg-ml-solution-buvable-sodium-oxybate-de,sodium (oxybate de),Spécialités à base d'oxybate de sodium 500 mg/mL
"Rifamycine Chibret 1000 000 UI pour cent, collyre en solution – [rifamycine sodique]",Remise à disposition,Ophtalmologie,2026-03-25,2026-03-25,2026-03-25,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/rifamycine-chibret-1000-000-ui-pour-cent-collyre-en-solution-rifamycine-sodique,rifamycine sodique,Rifamycine Chibret 1000 000 UI pour cent
"Fluoresceine Faure 0,5%, collyre en solution en récipient unidose – [fluorescéine sodique]",Tension d'approvisionnement,Ophtalmologie,2026-03-25,2025-10-20,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/fluoresceine-faure-0-5-collyre-en-solution-en-recipient-unidose-fluoresceine-sodique,fluorescéine sodique,Fluoresceine Faure 0
"Un-Alfa 1 microgramme/0,5 ml, solution injectable IV en ampoule – [alfacalcidol]",Remise à disposition,"Endocrinologie, Néphrologie",2026-03-25,2026-03-24,2026-03-24,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/un-alfa-1-microgramme-0-5-ml-solution-injectable-iv-en-ampoule-alfacalcidol,alfacalcidol,Un
