medicament,statut,domaine,date_maj,date_debut,date_remise,url
"Fluorouracile Accord 50 mg/ml, solution à diluer pour perfusion, flacons de 5 ml, 20 ml et 100 ml – [fluorouracile]",Remise à disposition,Oncologie/Radiothérapie,2026-06-11,2026-03-13,2026-03-13,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/fluorouracile-accord-50-mg-ml-solution-a-diluer-pour-perfusion-flacons-de-5-ml-20-ml-et-100-ml-fluorouracile
"Holoxan 1000 mg, poudre pour solution injectable et 2000 mg, poudre pour usage parentéral – [ifosfamide]",Tension d'approvisionnement,"Hématologie, Oncologie/Radiothérapie",2026-06-11,2026-01-13,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/holoxan-1000-mg-poudre-pour-solution-injectable-et-2000-mg-poudre-pour-usage-parenteral-ifosfamide
"Kétoprofène Pharmy II 100 mg/2 ml, solution injectable intramusculaire (I.M.) – [kétoprofène]",Remise à disposition,"Rhumatologie, Traitement de la douleur",2026-06-11,2026-06-11,2026-06-11,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/ketoprofene-pharmy-ii-100-mg-2-ml-solution-injectable-intramusculaire-i-m-ketoprofene
"Varivax, poudre et solvant pour suspension injectable en seringue préremplie. Vaccin varicelleux (vivant) – [virus de la varicelle souche Oka (vivant, atténué) ((mammifères/humain/cellules diploïdes MRC-5))]",Remise à disposition,Infectiologie,2026-06-11,2026-06-09,2026-06-09,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/varivax-poudre-et-solvant-pour-suspension-injectable-en-seringue-preremplie-vaccin-varicelleux-vivant-virus-de-la-varicelle-souche-oka-vivant-attenue-mammiferes-humain-cellules-diploides-mrc-5
"Méthylphénidate EG LP 18 mg, comprimé à libération prolongée – [méthylphénidate (chlorhydrate de)]",Tension d'approvisionnement,Psychiatrie,2026-06-10,2025-11-12,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/methylphenidate-eg-lp-18-mg-et-36-mg-comprime-a-liberation-prolongee-methylphenidate-chlorhydrate-de
"Concerta LP 36 mg, comprimé à libération prolongée – [méthylphénidate (chlorhydrate de)]",Remise à disposition,Psychiatrie,2026-06-10,2026-06-10,2026-06-10,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/concerta-lp-comprime-a-liberation-prolongee-methylphenidate-chlorhydrate-de
"Méthylphénidate EG LP 36 mg et 54 mg, comprimé à libération prolongée – [méthylphénidate (chlorhydrate de)]",Remise à disposition,Psychiatrie,2026-06-10,2026-06-10,2026-06-10,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/methylphenidate-eg-lp-36-mg-et-54-mg-comprime-a-liberation-prolongee-methylphenidate-chlorhydrate-de
"Clomid 50 mg, comprimé – [clomifène (citrate de)]",Rupture de stock,Gynécologie,,2026-02-17,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/clomid-50-mg-comprime-clomifene-citrate-de
"Largactil 100 mg, comprimé pelliculé sécable – [chlorpromazine (chlorhydrate de)]",Tension d'approvisionnement,Psychiatrie,2026-06-09,2026-06-04,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/largactil-100-mg-comprime-pellicule-secable-chlorpromazine-chlorhydrate-de
Rispéridone 3 mg comprimé orodispersible – [rispéridone],Rupture de stock,Psychiatrie,2026-06-09,2025-09-24,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/risperidone-3-mg-comprime-orodispersible-risperidone
